1813, 1653, 1810, 1640, 1863, 1196, 1233, 1310, 1640, 1650
3240, 3030, 2443, 3290, 2973, 2956, 2853, 2510, 3000, 3156
2576, 1723, 1900, 2246, 2366, 2220, 2766, 1893, 2383, 1760
2363, 2346, 2600, 2513, 2606, 2463, 2716, 2396, 2263, 2176
2236, 2166, 2153, 2100, 2093, 2023, 1980, 2063, 2753, 2296
1280, 1096, 1703, 1030, 1250, 1470, 1266, 1306, 986, 1396
1120, 1220, 1366, 2023, 1256, 1170, 1670, 1036, 1653, 1216
1743, 2000, 2030, 2183, 2346, 2080, 1873, 1996, 2433, 1810
1076, 1373, 1856, 1150, 1160, 2000, 1880, 1023, 1433, 1816
953, 1016, 1446, 1813, 1726, 1226, 1320, 990, 840, 1153
2763, 2216, 2330, 2083, 2313, 2466, 2320, 2886, 2220, 2563
1696, 2050, 1776, 1923, 1820, 1840, 1813, 1820, 1396, 2136
2886, 2566, 3750, 2550, 2846, 2763, 2676, 3060, 2696, 3140
1470, 1300, 1686, 1363, 1730, 1280, 1436, 1973, 1756, 1366
2203, 1630, 2193, 2800, 2110, 2363, 1586, 1653, 1390, 2200
2100, 2140, 1990, 1833, 1816, 1976, 1260, 1890, 1756, 1790
3010, 2713, 2663, 2920, 2783, 2870, 3233, 2963, 2966, 2486
1383, 980, 1696, 946, 1276, 1633, 1923, 1213, 1820, 1360
1680, 1860, 1696, 1556, 1476, 2626, 1330, 1763, 1626, 2230
1696, 1950, 1186, 1263, 990, 1293, 1110, 1233, 1070, 1223
1880, 1353, 1330, 1126, 2306, 1433, 2040, 1546, 1680, 1753
1333, 1276, 1270, 1753, 853, 1130, 1320, 1090, 823, 1710
1913, 1306, 903, 1163, 1466, 1306, 1673, 1196, 1216, 1116
2913, 2880, 2956, 3313, 3363, 2996, 2566, 3023, 2696, 3076
1816, 1783, 2516, 2626, 2636, 3170, 2436, 2543, 2463, 2480
2576, 1973, 2413, 2173, 1726, 1836, 1930, 2110, 2353, 1713
3443, 3080, 3320, 3370, 3126, 3420, 2916, 3190, 2836, 2976
1840, 1293, 1410, 1270, 1283, 1990, 1380, 1433, 1656, 1126
1420, 1420, 2116, 1763, 1310, 2476, 1766, 2040, 1843, 1443
2336, 2356, 2536, 2540, 2466, 2356, 2143, 2886, 2553, 2223
