1963, 1293, 1033, 1846, 1503, 1363, 1750, 1750, 1396, 2136
3063, 3123, 2900, 3033, 3226, 2370, 2860, 3623, 3183, 3490
2020, 1863, 1633, 2490, 1896, 2146, 2030, 1953, 2106, 2030
2486, 2280, 2473, 1923, 2613, 2010, 2013, 2336, 2506, 2370
2163, 1576, 2146, 2253, 1910, 2213, 1903, 1970, 2226, 1346
1383, 1183, 1116, 1330, 1400, 1663, 896, 1183, 1673, 1250
1273, 1756, 1020, 1636, 1953, 1393, 1700, 1743, 1200, 1090
2033, 2520, 2043, 1280, 1513, 1890, 1610, 2230, 1823, 2150
1333, 1556, 1190, 1830, 1683, 2010, 1190, 1353, 1193, 1766
1123, 1143, 1406, 1723, 1073, 1526, 1963, 1293, 1243, 1713
1730, 2036, 2643, 2316, 3163, 2136, 2186, 2596, 2240, 2293
1886, 1903, 1206, 1976, 1890, 2116, 2313, 1983, 1903, 1963
2310, 3076, 2566, 3323, 2846, 2600, 2653, 3433, 2626, 2023
1790, 1590, 1780, 1260, 1936, 1186, 1243, 1626, 1063, 1093
1723, 1700, 1923, 2106, 2016, 2416, 1836, 1760, 1303, 1963
1746, 2106, 2313, 1713, 2023, 1690, 1373, 2160, 1796, 1640
3220, 2856, 2800, 3310, 2063, 3716, 3476, 2306, 3436, 2573
1906, 1683, 1160, 1236, 1356, 1166, 1636, 1153, 1443, 1513
1293, 1703, 2203, 1760, 1440, 1786, 1660, 1680, 1430, 1293
1333, 1086, 2046, 1076, 1606, 1390, 1073, 1116, 1310, 1296
1756, 1730, 1456, 1456, 1703, 1600, 1483, 1443, 1153, 2053
993, 1310, 1060, 1016, 950, 896, 1110, 923, 900, 820
1406, 1573, 1253, 2923, 1353, 1726, 1653, 1346, 1473, 1486
2990, 3053, 3066, 2923, 2803, 3080, 2973, 2873, 3046, 2986
2486, 2016, 2546, 2080, 2500, 2583, 2120, 2446, 2250, 2133
2196, 2093, 1866, 1486, 2876, 2503, 2160, 2066, 2253, 2533
3003, 2303, 2766, 3100, 2723, 4090, 2760, 3290, 3243, 3620
1586, 1106, 940, 1253, 1803, 2106, 1586, 2476, 1303, 1726
1976, 1696, 1430, 1593, 1813, 1093, 2016, 1250, 1846, 1830
2980, 2680, 2470, 2316, 1873, 3006, 2446, 2326, 2226, 2360
