1626, 1300, 1180, 1390, 1306, 1673, 1740, 1926, 956, 1466, 1273, 1076, 1440, 1386, 1453, 1330, 1653, 1663, 1253, 1336, 1210, 2226, 1236, 1590, 1760, 1860, 1790, 1196, 1653, 1373
2970, 3280, 2900, 3713, 2940, 3100, 3173, 3050, 2986, 2670, 2790, 4273, 3126, 2973, 2890, 3350, 3190, 2946, 2863, 2946, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2013, 2550, 1946, 1660, 1583, 1896, 2113, 2023, 2096, 2300, 1730, 1980, 1990, 2166, 2000, 2683, 1773, 2216, 2330, 1936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1893, 2066, 2346, 2276, 2106, 2320, 1973, 2170, 3033, 2096, 2563, 2426, 2113, 2123, 2473, 1770, 1940, 2613, 2203, 2390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1443, 926, 1813, 1110, 930, 1376, 1163, 1693, 1790, 1406, 1390, 1106, 1746, 976, 1096, 1733, 1723, 1686, 1056, 1130, 1313, 956, 1716, 1120, 1340, 1773, 1400, 1316, 1673, 1216
1166, 1206, 1700, 1693, 1293, 1373, 1413, 1313, 896, 1236, 1033, 1166, 1133, 1183, 2163, 1060, 1246, 1636, 1300, 2160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1983, 1996, 1690, 1636, 2420, 2100, 1833, 2500, 2020, 1936, 1776, 1690, 1436, 1386, 1980, 1670, 1943, 1400, 2110, 1480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1353, 1843, 1876, 1286, 1083, 1123, 1200, 1023, 1113, 1136, 1236, 2076, 1380, 903, 1290, 1326, 1763, 1086, 1276, 1746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2283, 1650, 2493, 2343, 2383, 2666, 3876, 2663, 1976, 2523, 2656, 2473, 2956, 2153, 2400, 1996, 2493, 2660, 2483, 2733, 2583, 2073, 2130, 2360, 2526, 1716, 2030, 2333, 2583, 2180
1440, 2140, 2090, 1436, 1836, 1810, 1123, 2240, 2243, 2140, 1413, 1816, 2240, 2233, 1810, 2010, 2063, 1670, 2053, 2170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2616, 2593, 2743, 3430, 3106, 2716, 3133, 2436, 2350, 2933, 2946, 3026, 2186, 2886, 2750, 2743, 2390, 2610, 2770, 3560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2463, 2103, 1873, 1746, 2616, 1543, 2096, 2086, 2696, 2073, 1886, 1940, 2000, 2940, 2573, 1416, 2266, 1826, 1776, 1590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1933, 1896, 1133, 1926, 1843, 2326, 1316, 1966, 1836, 1796, 1783, 1903, 1610, 1826, 2073, 1866, 1786, 2083, 1846, 1863, 1873, 1923, 1983, 2270, 1766, 1746, 1966, 2270, 1923, 1720
3510, 2963, 3080, 2436, 2646, 4020, 2770, 3220, 2850, 3096, 2636, 3036, 2710, 3126, 3393, 2886, 2560, 3106, 2800, 2866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1740, 1130, 1023, 1336, 1273, 1003, 1023, 1656, 1753, 1173, 1090, 1576, 1263, 1390, 1360, 1703, 1126, 1120, 1646, 1383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 980, 826, 1403, 1323, 1360, 1730, 1146, 1096, 1370, 1746, 1113, 1080, 1353, 1583, 1826, 1823, 1600, 1576, 1176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1363, 1473, 1450, 1960, 1233, 2170, 1756, 1450, 2186, 2140, 1526, 1683, 2210, 1396, 1320, 1613, 1920, 1803, 1743, 1406, 1873, 1476, 1863, 1640, 1293, 1303, 1380, 1656, 1726, 2436
1806, 1176, 1143, 953, 1683, 913, 1150, 1226, 1730, 900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
